Date,Product_ID,Product_Name,Category,Units_Sold,Revenue,Stock_Level
2024-01-01,P001,Winter Coat,Clothing,41,4100,182
2024-01-01,P002,T-Shirt,Clothing,5,125,94
2024-01-01,P003,Chocolate Box,Food,5,100,134
2024-01-01,P004,LED TV,Electronics,13,5200,79
2024-01-01,P005,Notebook Pack,Stationery,2,10,118
2024-01-01,P006,Rain Jacket,Clothing,5,300,177
2024-01-01,P007,Coffee Maker,Home Appliances,24,1920,167
2024-01-02,P001,Winter Coat,Clothing,33,3300,28
2024-01-02,P002,T-Shirt,Clothing,18,450,142
2024-01-02,P003,Chocolate Box,Food,17,340,94
2024-01-02,P004,LED TV,Electronics,15,6000,88
2024-01-02,P005,Notebook Pack,Stationery,20,100,119
2024-01-02,P006,Rain Jacket,Clothing,4,240,130
2024-01-02,P007,Coffee Maker,Home Appliances,2,160,68
2024-01-03,P001,Winter Coat,Clothing,25,2500,141
2024-01-03,P002,T-Shirt,Clothing,13,325,81
2024-01-03,P003,Chocolate Box,Food,6,120,130
2024-01-03,P004,LED TV,Electronics,8,3200,180
2024-01-03,P005,Notebook Pack,Stationery,23,115,18
2024-01-03,P006,Rain Jacket,Clothing,3,180,195
2024-01-03,P007,Coffee Maker,Home Appliances,25,2000,76
2024-01-04,P001,Winter Coat,Clothing,35,3500,57
2024-01-04,P002,T-Shirt,Clothing,7,175,37
2024-01-04,P003,Chocolate Box,Food,13,260,193
2024-01-04,P004,LED TV,Electronics,11,4400,40
2024-01-04,P005,Notebook Pack,Stationery,21,105,138
2024-01-04,P006,Rain Jacket,Clothing,2,120,120
2024-01-04,P007,Coffee Maker,Home Appliances,11,880,7
2024-01-05,P001,Winter Coat,Clothing,22,2200,102
2024-01-05,P002,T-Shirt,Clothing,20,500,126
2024-01-05,P003,Chocolate Box,Food,11,220,144
2024-01-05,P004,LED TV,Electronics,7,2800,200
2024-01-05,P005,Notebook Pack,Stationery,18,90,117
2024-01-05,P006,Rain Jacket,Clothing,1,60,84
2024-01-05,P007,Coffee Maker,Home Appliances,6,480,90
2024-01-06,P001,Winter Coat,Clothing,20,2000,79
2024-01-06,P002,T-Shirt,Clothing,4,100,170
2024-01-06,P003,Chocolate Box,Food,9,180,127
2024-01-06,P004,LED TV,Electronics,11,4400,86
2024-01-06,P005,Notebook Pack,Stationery,18,90,118
2024-01-06,P006,Rain Jacket,Clothing,5,300,55
2024-01-06,P007,Coffee Maker,Home Appliances,24,1920,198
2024-01-07,P001,Winter Coat,Clothing,40,4000,11
2024-01-07,P002,T-Shirt,Clothing,22,550,27
2024-01-07,P003,Chocolate Box,Food,8,160,166
2024-01-07,P004,LED TV,Electronics,20,8000,14
2024-01-07,P005,Notebook Pack,Stationery,5,25,157
2024-01-07,P006,Rain Jacket,Clothing,5,300,144
2024-01-07,P007,Coffee Maker,Home Appliances,25,2000,151
2024-01-08,P001,Winter Coat,Clothing,47,4700,7
2024-01-08,P002,T-Shirt,Clothing,8,200,192
2024-01-08,P003,Chocolate Box,Food,15,300,46
2024-01-08,P004,LED TV,Electronics,24,9600,174
2024-01-08,P005,Notebook Pack,Stationery,15,75,49
2024-01-08,P006,Rain Jacket,Clothing,1,60,34
2024-01-08,P007,Coffee Maker,Home Appliances,15,1200,159
2024-01-09,P001,Winter Coat,Clothing,22,2200,13
2024-01-09,P002,T-Shirt,Clothing,7,175,9
2024-01-09,P003,Chocolate Box,Food,8,160,119
2024-01-09,P004,LED TV,Electronics,7,2800,127
2024-01-09,P005,Notebook Pack,Stationery,5,25,89
2024-01-09,P006,Rain Jacket,Clothing,1,60,56
2024-01-09,P007,Coffee Maker,Home Appliances,10,800,95
2024-01-10,P001,Winter Coat,Clothing,49,4900,57
2024-01-10,P002,T-Shirt,Clothing,11,275,155
2024-01-10,P003,Chocolate Box,Food,6,120,108
2024-01-10,P004,LED TV,Electronics,23,9200,152
2024-01-10,P005,Notebook Pack,Stationery,19,95,28
2024-01-10,P006,Rain Jacket,Clothing,5,300,187
2024-01-10,P007,Coffee Maker,Home Appliances,20,1600,84
2024-01-11,P001,Winter Coat,Clothing,40,4000,148
2024-01-11,P002,T-Shirt,Clothing,10,250,33
2024-01-11,P003,Chocolate Box,Food,6,120,42
2024-01-11,P004,LED TV,Electronics,11,4400,49
2024-01-11,P005,Notebook Pack,Stationery,25,125,13
2024-01-11,P006,Rain Jacket,Clothing,4,240,117
2024-01-11,P007,Coffee Maker,Home Appliances,20,1600,108
2024-01-12,P001,Winter Coat,Clothing,46,4600,113
2024-01-12,P002,T-Shirt,Clothing,9,225,45
2024-01-12,P003,Chocolate Box,Food,11,220,74
2024-01-12,P004,LED TV,Electronics,6,2400,72
2024-01-12,P005,Notebook Pack,Stationery,23,115,55
2024-01-12,P006,Rain Jacket,Clothing,2,120,82
2024-01-12,P007,Coffee Maker,Home Appliances,20,1600,73
2024-01-13,P001,Winter Coat,Clothing,25,2500,77
2024-01-13,P002,T-Shirt,Clothing,11,275,17
2024-01-13,P003,Chocolate Box,Food,13,260,186
2024-01-13,P004,LED TV,Electronics,24,9600,91
2024-01-13,P005,Notebook Pack,Stationery,12,60,28
2024-01-13,P006,Rain Jacket,Clothing,2,120,137
2024-01-13,P007,Coffee Maker,Home Appliances,22,1760,77
2024-01-14,P001,Winter Coat,Clothing,41,4100,12
2024-01-14,P002,T-Shirt,Clothing,22,550,107
2024-01-14,P003,Chocolate Box,Food,8,160,24
2024-01-14,P004,LED TV,Electronics,21,8400,180
2024-01-14,P005,Notebook Pack,Stationery,3,15,9
2024-01-14,P006,Rain Jacket,Clothing,1,60,38
2024-01-14,P007,Coffee Maker,Home Appliances,20,1600,197
2024-01-15,P001,Winter Coat,Clothing,46,4600,27
2024-01-15,P002,T-Shirt,Clothing,5,125,21
2024-01-15,P003,Chocolate Box,Food,14,280,20
2024-01-15,P004,LED TV,Electronics,3,1200,94
2024-01-15,P005,Notebook Pack,Stationery,4,20,106
2024-01-15,P006,Rain Jacket,Clothing,5,300,61
2024-01-15,P007,Coffee Maker,Home Appliances,5,400,54
2024-01-16,P001,Winter Coat,Clothing,32,3200,186
2024-01-16,P002,T-Shirt,Clothing,20,500,5
2024-01-16,P003,Chocolate Box,Food,7,140,78
2024-01-16,P004,LED TV,Electronics,10,4000,39
2024-01-16,P005,Notebook Pack,Stationery,9,45,93
2024-01-16,P006,Rain Jacket,Clothing,2,120,139
2024-01-16,P007,Coffee Maker,Home Appliances,22,1760,182
2024-01-17,P001,Winter Coat,Clothing,31,3100,43
2024-01-17,P002,T-Shirt,Clothing,23,575,110
2024-01-17,P003,Chocolate Box,Food,20,400,95
2024-01-17,P004,LED TV,Electronics,9,3600,192
2024-01-17,P005,Notebook Pack,Stationery,13,65,179
2024-01-17,P006,Rain Jacket,Clothing,2,120,152
